loan_amount;emp_length;home_ownership;income;loan_purpose;debt_to_income;credit_score;recent_inquiry;delinquent;credit_accounts;bad_public_record;credit_utilization;past_bankrupt;outcome
LOW;10+ years;RENT;LOW;credit_card;HIGH;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
LOW;< 2 years;RENT;LOW;car;LOW;AVERAGE;YES;NEVER;FEW;NO;LOW;NO;default
LOW;6 - 9 years;RENT;MEDIUM;car;LOW;LOW;YES;NEVER;FEW;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;OWN;MEDIUM;small_business;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
LOW;< 2 years;RENT;LOW;other;AVERAGE;AVERAGE;NO;NEVER;FEW;NO;MEDIUM;NO;default
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;default
MEDIUM;2 - 5 years;RENT;HIGH;other;LOW;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;default
LOW;10+ years;MORTGAGE;HIGH;major_purchase;AVERAGE;HIGH;NO;NEVER;MANY;NO;LOW;NO;repaid
HIGH;10+ years;RENT;HIGH;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;< 2 years;RENT;MEDIUM;major_purchase;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
LOW;2 - 5 years;RENT;MEDIUM;other;AVERAGE;AVERAGE;NO;IN PAST 2 YEARS;MANY;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;other;LOW;HIGH;NO;NEVER;FEW;NO;LOW;NO;repaid
LOW;10+ years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
LOW;10+ years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;MANY;NO;MEDIUM;NO;default
MEDIUM;6 - 9 years;RENT;LOW;other;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;6 - 9 years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;car;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;< 2 years;RENT;MEDIUM;credit_card;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;6 - 9 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
